platform,name,price,full_text,url
Blinkit,Plix Apple Cider Vinegar Effervescent Tablets (Apple Burst),"₹1,169","Plix Apple Cider Vinegar Effervescent Tablets (Apple Burst)
4 x 15 tablets
₹1,169
₹1,199
ADD",https://blinkit.com/s/?q=apple
Blinkit,Kinnaur Apple (Seb),₹115,"Kinnaur Apple (Seb)
2 pieces (300-400 g)
₹115
₹152
ADD",https://blinkit.com/s/?q=apple
Blinkit,Royal Gala Apple - Italy/Poland (Seb),₹120,"Royal Gala Apple - Italy/Poland (Seb)
2 pieces (300 - 400) g
₹120
₹165
ADD",https://blinkit.com/s/?q=apple
Blinkit,Washington Red Delicious Apple (Seb),₹127,"Washington Red Delicious Apple (Seb)
2 pieces (340-400 g)
₹127
₹167
ADD",https://blinkit.com/s/?q=apple
Blinkit,Real Activ Apple Juice,₹97,"Real Activ Apple Juice
1 ltr
₹97
₹165
ADD",https://blinkit.com/s/?q=apple
Blinkit,Small Shimla Apple (Seb),₹135,"Small Shimla Apple (Seb)
500 g
₹135
₹189
ADD",https://blinkit.com/s/?q=apple
Blinkit,Kinnaur Apple + Banana Combo,₹162,"Kinnaur Apple + Banana Combo
2 pieces (300-400 g) + 3 pieces
₹162
₹217
ADD",https://blinkit.com/s/?q=apple
Blinkit,Rockit Apple - New Zealand (Seb),₹370,"Rockit Apple - New Zealand (Seb)
5 pieces
₹370
₹477
ADD",https://blinkit.com/s/?q=apple
Blinkit,Plix Apple Cider Vinegar Effervescent Tablets (Watermelon),"₹1,169","Plix Apple Cider Vinegar Effervescent Tablets (Watermelon)
4 x 15 tablets
₹1,169
₹1,199
ADD",https://blinkit.com/s/?q=apple
Blinkit,Fuji Apple - Imported (Seb),₹163,"Fuji Apple - Imported (Seb)
2 pieces (300-400 g)
₹163
₹226
ADD",https://blinkit.com/s/?q=apple
Blinkit,New Zealand Royal Gala Apple (Seb),₹159,"New Zealand Royal Gala Apple (Seb)
2 pieces (300-400 g)
₹159
₹209
ADD",https://blinkit.com/s/?q=apple
Blinkit,Farmley Apple Pie Date Bites,₹348,"Farmley Apple Pie Date Bites
200 g
₹348
₹400
ADD",https://blinkit.com/s/?q=apple
Blinkit,Yu Cranberry Juice with Berry Pieces - 100% Fruit Juice,₹167,"Yu Cranberry Juice with Berry Pieces - 100% Fruit Juice
3 x 250 ml
₹167
₹270
ADD",https://blinkit.com/s/?q=apple
Blinkit,Farmley Apple Pie Date Bites,₹34,"Farmley Apple Pie Date Bites
20 g
₹34
₹40
ADD",https://blinkit.com/s/?q=apple
Blinkit,Yu 100% Orange Juice,₹160,"Yu 100% Orange Juice
3 x 250 ml
₹160
₹270
ADD",https://blinkit.com/s/?q=apple
