platform,name,price,full_text,url
Blinkit,Amul Shakti Fresh Milk,₹32,"Amul Shakti Fresh Milk
500 ml
₹32
ADD",https://blinkit.com/s/?q=milk
Blinkit,Amul Gold Full Cream Milk,₹35,"Amul Gold Full Cream Milk
500 ml
₹35
ADD",https://blinkit.com/s/?q=milk
Blinkit,Verka Double Toned Milk,₹26,"Verka Double Toned Milk
500 ml
₹26
ADD",https://blinkit.com/s/?q=milk
Blinkit,Verka Standard Fresh Milk,₹63,"Verka Standard Fresh Milk
1 ltr
₹63
ADD",https://blinkit.com/s/?q=milk
Blinkit,Verka Full Cream Milk,₹35,"Verka Full Cream Milk
500 ml
₹35
ADD",https://blinkit.com/s/?q=milk
Blinkit,Amul Lactose Free Milk,₹25,"Amul Lactose Free Milk
250 ml
₹25
ADD",https://blinkit.com/s/?q=milk
Blinkit,Amul Moti Toned Milk (90 Days Shelf Life),₹33,"Amul Moti Toned Milk (90 Days Shelf Life)
450 ml
₹33
ADD",https://blinkit.com/s/?q=milk
Blinkit,Amul Taaza Homogenised Toned Milk,₹74,"Amul Taaza Homogenised Toned Milk
1 ltr
₹74
ADD",https://blinkit.com/s/?q=milk
Blinkit,Amul Gold Milk,₹80,"Amul Gold Milk
1 ltr
₹80
ADD",https://blinkit.com/s/?q=milk
Blinkit,Amul Taaza Toned Milk,₹16,"Amul Taaza Toned Milk
200 ml
₹16
ADD",https://blinkit.com/s/?q=milk
Blinkit,Amul Gold Full Cream Fresh Milk + Baby Banana Combo,₹69,"Amul Gold Full Cream Fresh Milk + Baby Banana Combo
500 ml + 4 pieces
₹69
₹82
ADD",https://blinkit.com/s/?q=milk
Blinkit,Amul Gold Full Cream Fresh Milk + Banana Robusta Regular Combo,₹83,"Amul Gold Full Cream Fresh Milk + Banana Robusta Regular Combo
3 pieces + 500 ml
₹83
₹100
ADD",https://blinkit.com/s/?q=milk
Blinkit,Yakult Probiotic Drink,₹90,"Yakult Probiotic Drink
5 x 65 ml
₹90
ADD",https://blinkit.com/s/?q=milk
Blinkit,Yakult Light Probiotic Drink,₹100,"Yakult Light Probiotic Drink
5 x 65 ml
₹100
ADD",https://blinkit.com/s/?q=milk
Blinkit,Amul Pure Milk Cheese Slices,₹145,"Amul Pure Milk Cheese Slices
200 g
₹145
ADD",https://blinkit.com/s/?q=milk
Blinkit,Amul Kool Kesar Flavoured Milk,₹25,"Amul Kool Kesar Flavoured Milk
180 ml
₹25
ADD",https://blinkit.com/s/?q=milk
Blinkit,Nestle Milkmaid Mini Sweetened Liquid Condensed Milk,₹89,"Nestle Milkmaid Mini Sweetened Liquid Condensed Milk
210 g
₹89
ADD",https://blinkit.com/s/?q=milk
Blinkit,Amul Kool Elaichi Flavoured Milk,₹25,"Amul Kool Elaichi Flavoured Milk
180 ml
₹25
ADD",https://blinkit.com/s/?q=milk
Blinkit,Nestle Milkmaid Partly Skimmed Sweetened Condensed Milk,₹141,"Nestle Milkmaid Partly Skimmed Sweetened Condensed Milk
380 g
₹141
₹149
ADD",https://blinkit.com/s/?q=milk
Blinkit,Amul Kool Cafe Milk 'n' Coffee Flavoured Milk,₹30,"Amul Kool Cafe Milk 'n' Coffee Flavoured Milk
200 ml
₹30
ADD",https://blinkit.com/s/?q=milk
