platform,name,price,full_text,url
Zepto,Amul Gold Epic Almond Ice Cream Stick,₹52,"48% Off
Amul Gold Epic Almond Ice Cream Stick
80 ml
₹52
₹100
Add to Cart",https://www.zepto.com/search?query=Ice+cream
Zepto,Amul Gold Epic Almond Ice Cream Stick,₹52,"48% Off
Amul Gold Epic Almond Ice Cream Stick
80 ml
₹52
₹100
Add to Cart
27% Off
Amul Gold TriCone Butterscotch Ice Cream Cone 120 ml Combo
120 ml X 3
₹87
₹120
Add to Cart
17% Off
Go Zero - Vanilla Choco Fudge - Low Calorie Icecream Cone
120 ml
₹99
₹120
Add to Cart
12% Off
NIC Alphonso Mango Ice Cream 500 ml Combo
500 ml X 2
₹610
₹700
Add to Cart
8% Off
Baskin Robbins Mississippi Mud Ice Cream Tub
450 ml
₹374
₹410
Add to Cart
6% Off
Giani's Belgian Chocolate Ice Cream Tub
500 ml
₹253
₹270
Add to Cart
11% Off
Amul Cassata Ice Cream
150 ml
₹53
₹60
Add to Cart
14% Off
Cream Pot Vanilla Tub
1 L
₹162
₹190
Add to Cart
25% Off
Amul Gold TriCone Butterscotch Ice Cream Cone 120 ml Combo
120 ml X 2
₹60
₹80
Add to Cart
14% Off
Cream Pot Vanilla Tub
1 L
₹162
₹190
Add to Cart
6% Off
Giani's Caffe Mocha Ice Cream Cup
125 ml
₹61
₹65
Add to Cart
29% Off
Go Zero Hazelnut Chocolate Low Calorie Guilt Free Ice Cream Bar
70 ml
₹95
₹135
Add to Cart
13% Off
Amul Vanilla Magic Ice Cream Tub 1 l Combo
1 l X 3
₹504
₹585
Add to Cart
35% Off
Kwality Wall's Magnum Almond Ice Cream Stick Combo
62 g X 4
₹232
₹360
Add to Cart
Baskin Robbins Cookies And Cream Ice Cream Cone
110 ml
₹90
Add to Cart
Kwality Wall's Cornetto Oreo Cone
110 ml
₹60
Add to Cart
5% Off
Giani's Belgian Chocolate Ice Cream Cone
120 ml
₹66
₹70
Add to Cart
Vadilal Almond Crunch Badabite Ice Cream Stick
75 ml
₹50
Add to Cart
17% Off
Go Zero - Vanilla Choco Fudge - Low Calorie Icecream Cone
120 ml
₹99
₹120
Add to Cart
20% Off
Amul Gold Butterscotch Ice Cream Tub
1 L
₹208
₹260
Add to Cart
10% Off
Amul Chocochip Ice Cream Tub
1 L
₹205
₹230
Add to Cart
9% Off
NIC Alphonso Mango Ice Cream Cup | No Added Sugar
100 ml
₹95
₹105
Add to Cart
12% Off
NIC Alphonso Mango Ice Cream Cup
500 ml
₹305
₹350
Add to Cart
35% Off
Kwality Wall's Magnum Almond Ice Cream Stick Combo
62 g X 4
₹232
₹360
Add to Cart
22% Off
Amul Gold TriCone Chocolate Ice Cream Cone
120 ml
₹39
₹50
Add to Cart
Baskin Robbins Cookies And Cream Ice Cream Cone
110 ml
₹90
Add to Cart
Vadilal Silk Gourmet Ice Cream Cup
120 ml
₹50
Add to Cart
Baskin Robbins Dutch Chocolate Ice Cream Cup
100 ml
₹85
Add to Cart",https://www.zepto.com/search?query=Ice+cream
Zepto,Amul Gold TriCone Butterscotch Ice Cream Cone 120 ml Combo,₹87,"27% Off
Amul Gold TriCone Butterscotch Ice Cream Cone 120 ml Combo
120 ml X 3
₹87
₹120
Add to Cart",https://www.zepto.com/search?query=Ice+cream
Zepto,"Showing results for ""ice cream""",₹52,"Showing results for ""ice cream""
48% Off
Amul Gold Epic Almond Ice Cream Stick
80 ml
₹52
₹100
Add to Cart
27% Off
Amul Gold TriCone Butterscotch Ice Cream Cone 120 ml Combo
120 ml X 3
₹87
₹120
Add to Cart
17% Off
Go Zero - Vanilla Choco Fudge - Low Calorie Icecream Cone
120 ml
₹99
₹120
Add to Cart
12% Off
NIC Alphonso Mango Ice Cream 500 ml Combo
500 ml X 2
₹610
₹700
Add to Cart
8% Off
Baskin Robbins Mississippi Mud Ice Cream Tub
450 ml
₹374
₹410
Add to Cart
6% Off
Giani's Belgian Chocolate Ice Cream Tub
500 ml
₹253
₹270
Add to Cart
11% Off
Amul Cassata Ice Cream
150 ml
₹53
₹60
Add to Cart
14% Off
Cream Pot Vanilla Tub
1 L
₹162
₹190
Add to Cart
25% Off
Amul Gold TriCone Butterscotch Ice Cream Cone 120 ml Combo
120 ml X 2
₹60
₹80
Add to Cart
14% Off
Cream Pot Vanilla Tub
1 L
₹162
₹190
Add to Cart
6% Off
Giani's Caffe Mocha Ice Cream Cup
125 ml
₹61
₹65
Add to Cart
29% Off
Go Zero Hazelnut Chocolate Low Calorie Guilt Free Ice Cream Bar
70 ml
₹95
₹135
Add to Cart
13% Off
Amul Vanilla Magic Ice Cream Tub 1 l Combo
1 l X 3
₹504
₹585
Add to Cart
35% Off
Kwality Wall's Magnum Almond Ice Cream Stick Combo
62 g X 4
₹232
₹360
Add to Cart
Baskin Robbins Cookies And Cream Ice Cream Cone
110 ml
₹90
Add to Cart
Kwality Wall's Cornetto Oreo Cone
110 ml
₹60
Add to Cart
5% Off
Giani's Belgian Chocolate Ice Cream Cone
120 ml
₹66
₹70
Add to Cart
Vadilal Almond Crunch Badabite Ice Cream Stick
75 ml
₹50
Add to Cart
17% Off
Go Zero - Vanilla Choco Fudge - Low Calorie Icecream Cone
120 ml
₹99
₹120
Add to Cart
20% Off
Amul Gold Butterscotch Ice Cream Tub
1 L
₹208
₹260
Add to Cart
10% Off
Amul Chocochip Ice Cream Tub
1 L
₹205
₹230
Add to Cart
9% Off
NIC Alphonso Mango Ice Cream Cup | No Added Sugar
100 ml
₹95
₹105
Add to Cart
12% Off
NIC Alphonso Mango Ice Cream Cup
500 ml
₹305
₹350
Add to Cart
35% Off
Kwality Wall's Magnum Almond Ice Cream Stick Combo
62 g X 4
₹232
₹360
Add to Cart
22% Off
Amul Gold TriCone Chocolate Ice Cream Cone
120 ml
₹39
₹50
Add to Cart
Baskin Robbins Cookies And Cream Ice Cream Cone
110 ml
₹90
Add to Cart
Vadilal Silk Gourmet Ice Cream Cup
120 ml
₹50
Add to Cart
Baskin Robbins Dutch Chocolate Ice Cream Cup
100 ml
₹85
Add to Cart",https://www.zepto.com/search?query=Ice+cream
Zepto,Go Zero - Vanilla Choco Fudge - Low Calorie Icecream Cone,₹99,"17% Off
Go Zero - Vanilla Choco Fudge - Low Calorie Icecream Cone
120 ml
₹99
₹120
Add to Cart",https://www.zepto.com/search?query=Ice+cream
Zepto,NIC Alphonso Mango Ice Cream 500 ml Combo,₹610,"12% Off
NIC Alphonso Mango Ice Cream 500 ml Combo
500 ml X 2
₹610
₹700
Add to Cart",https://www.zepto.com/search?query=Ice+cream
Zepto,Baskin Robbins Mississippi Mud Ice Cream Tub,₹374,"8% Off
Baskin Robbins Mississippi Mud Ice Cream Tub
450 ml
₹374
₹410
Add to Cart",https://www.zepto.com/search?query=Ice+cream
Zepto,Giani's Belgian Chocolate Ice Cream Tub,₹253,"6% Off
Giani's Belgian Chocolate Ice Cream Tub
500 ml
₹253
₹270
Add to Cart",https://www.zepto.com/search?query=Ice+cream
Zepto,Amul Cassata Ice Cream,₹53,"11% Off
Amul Cassata Ice Cream
150 ml
₹53
₹60
Add to Cart",https://www.zepto.com/search?query=Ice+cream
Zepto,Cream Pot Vanilla Tub,₹162,"14% Off
Cream Pot Vanilla Tub
1 L
₹162
₹190
Add to Cart",https://www.zepto.com/search?query=Ice+cream
