platform,name,price,full_text,url
Zepto,Amul Gold Kool Premium Kesar Flavoured Milk,₹30,"Amul Gold Kool Premium Kesar Flavoured Milk
180 ml
₹30
Add to Cart",https://www.zepto.com/search?query=verka+milk
Zepto,Amul Kool Badam Pet 180 ml Combo,₹100,"Amul Kool Badam Pet 180 ml Combo
180 ml X 4
₹100
Add to Cart",https://www.zepto.com/search?query=verka+milk
Zepto,Amul Gold Kool Exotic Rose Flavoured Milk,₹30,"Amul Gold Kool Exotic Rose Flavoured Milk
180 ml
₹30
Add to Cart",https://www.zepto.com/search?query=verka+milk
Zepto,200 ml X 2,₹70,"Amul Kool Cafe Milk 'N' Coffee Combo
200 ml X 2
₹70
Add to Cart",https://www.zepto.com/search?query=verka+milk
Zepto,Amul Taaza Toned Homogenised Milk (Tetra Pack),₹48,"Amul Taaza Toned Homogenised Milk (Tetra Pack)
200 ml X 3
₹48
Add to Cart",https://www.zepto.com/search?query=verka+milk
Zepto,200 ml,₹35,"Amul Kool Cafe Milk 'N' Coffee Tin
200 ml
₹35
Add to Cart",https://www.zepto.com/search?query=verka+milk
Zepto,Verka Standard Fresh Milk,₹63,"Verka Standard Fresh Milk
1 L
₹63
Add to Cart",https://www.zepto.com/search?query=verka+milk
Zepto,Amul Shakti Fresh Milk (Pouch) 500 ml Combo,₹64,"Amul Shakti Fresh Milk (Pouch) 500 ml Combo
500 ml X 2
₹64
Add to Cart",https://www.zepto.com/search?query=verka+milk
Zepto,Amul Kool Badam Milk,₹25,"Amul Kool Badam Milk
180 ml
₹25
Add to Cart",https://www.zepto.com/search?query=verka+milk
Zepto,Amul Gold Full Cream Fresh Milk (Pouch),₹35,"Amul Gold Full Cream Fresh Milk (Pouch)
500 ml
₹35
Add to Cart",https://www.zepto.com/search?query=verka+milk
Zepto,Verka Full Cream Fresh Milk,₹69,"Verka Full Cream Fresh Milk
1 L
₹69
Add to Cart",https://www.zepto.com/search?query=verka+milk
Zepto,Amul Kool Badam Pet 180 ml Combo,₹125,"Amul Kool Badam Pet 180 ml Combo
180 ml X 5
₹125
Add to Cart",https://www.zepto.com/search?query=verka+milk
Zepto,Verka Standard Fresh Milk,₹32,"Verka Standard Fresh Milk
500 ml
₹32
Add to Cart",https://www.zepto.com/search?query=verka+milk
Zepto,Amul Taaza Homogenised Toned Milk (Tetra Pack),₹16,"Amul Taaza Homogenised Toned Milk (Tetra Pack)
200 ml
₹16
Add to Cart",https://www.zepto.com/search?query=verka+milk
Zepto,Amul Kool Kesar Milk Drink,₹25,"Amul Kool Kesar Milk Drink
180 ml
₹25
Add to Cart",https://www.zepto.com/search?query=verka+milk
Zepto,Amul Gold Full Cream Fresh Milk (Pouch),₹69,"Amul Gold Full Cream Fresh Milk (Pouch)
1 L
₹69
Add to Cart",https://www.zepto.com/search?query=verka+milk
